LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID153169,153169,0,2652.00439453125,904.2199375370413,487.2416655416429,0.0,1.648911952972412,4,7.5,1,,372.14285714285717,53.0,30.0,3795.0,7815.0,849.2506276544214,375.2857142857143,0.0,0.0,4095.0,7881.0,974.4204504656674,2318.2380952380954,2454.0,857.0,2515.0,48683.0,364.025672825682,0.814382726797841,0.3933720125637276,0.9789077212806027,0.3810323501608366,-0.02717419812510768,-0.3557768433105071
ID157649,157649,0,2517.06787109375,904.8984004181129,487.2930963836148,0.0,9.893471717834473,24,7.5,1,,318.85714285714283,37.0,29.0,3683.0,6696.0,821.8002972568388,336.1904761904762,0.0,0.0,4095.0,7060.0,921.537173371081,2325.5238095238096,2456.0,765.0,2525.0,48836.0,386.93805951955915,0.7875663229552506,0.34188876135983604,0.9896431465107267,0.36291588213100223,-0.02581774477486145,-0.31855719986540604
ID155478,155478,0,2604.490234375,904.4688077706638,487.31229137957314,0.0,8.656787753105164,21,7.5,1,,318.0,53.0,27.0,3511.0,6678.0,763.5919721945746,370.9047619047619,0.0,0.0,4088.0,7789.0,953.3165216632881,2316.285714285714,2445.0,840.0,2532.0,48642.0,366.1656923930945,0.7902885292047853,0.3676701827981773,0.9760258768313567,0.38434743716124986,-0.02768990899959525,-0.3602974668826718
ID152405,152405,0,2695.563232421875,904.6911143703683,487.3265040154627,0.0,0.412227988243103,1,7.5,1,,343.8095238095238,37.0,30.0,3462.0,7220.0,793.5196669930506,387.04761904761904,0.0,0.0,4095.0,8128.0,977.9984906016203,2320.4285714285716,2453.0,892.0,2519.0,48729.0,356.8000240230614,0.8007794232268122,0.3853386654958451,0.9811705919990249,0.39199349621001595,-0.02729974324617676,-0.36505042385193737
ID160410,160410,0,2674.027099609375,904.8475088654625,487.49482232865296,0.0,14.427979588508606,35,7.5,1,,310.8095238095238,35.0,30.0,3533.0,6527.0,779.7940509549697,383.1904761904762,0.0,0.0,4095.0,8047.0,968.4690815430104,2322.6190476190477,2458.0,802.0,2527.0,48775.0,376.5377107529173,0.7475819137186651,0.34100884245143126,0.9970219630227076,0.395076161863052,-0.026478682078675084,-0.33554471301851985
ID154203,154203,0,2646.259521484375,904.3802076161837,487.4287230793752,0.0,4.946735858917236,12,7.5,1,,372.1904761904762,56.0,31.0,4066.0,7816.0,897.4792821590713,374.6666666666667,0.0,0.0,4095.0,7868.0,957.880542308556,2321.5238095238096,2463.0,873.0,2548.0,48752.0,359.956888953055,0.7925577661831318,0.3667149249699491,0.952539007972206,0.38163372953427055,-0.026663339156476156,-0.35334919290033123
ID153176,153176,0,2647.905029296875,904.5720602675732,487.3055602937062,0.0,2.885595917701721,7,7.5,1,,314.4761904761905,49.0,30.0,3618.0,6604.0,805.3564812583071,388.2857142857143,0.0,0.0,4095.0,8154.0,958.6909378343546,2324.714285714286,2448.0,844.0,2528.0,48819.0,367.8540665613394,0.7811341109837502,0.34249843361583815,0.9149273447820343,0.3870232831488628,-0.02703995455972259,-0.3512650734628739
ID157016,157016,0,2894.083251953125,905.1655461060188,487.3637892982144,0.0,9.069015741348267,22,7.5,1,,329.14285714285717,34.0,30.0,4056.0,6912.0,887.7261562956386,439.5238095238095,0.0,0.0,4095.0,9230.0,1014.8735201515319,2318.1428571428573,2450.0,799.0,2528.0,48681.0,378.6107877113759,0.7843175217812198,0.3259531566182427,0.9572189678479605,0.4236160054727562,-0.027639207226641482,-0.34807701883597053
ID159385,159385,0,2594.938232421875,904.8463236902088,487.3675229924025,0.0,15.252435564994812,37,7.5,1,,330.5238095238095,46.0,29.0,3700.0,6941.0,816.329383217805,357.3333333333333,0.0,0.0,4095.0,7504.0,931.652098872392,2315.9523809523807,2444.0,870.0,2509.0,48635.0,359.67269512578747,0.8032084172241346,0.3607029062113498,0.9847257579264059,0.3805962910001456,-0.02798769870316753,-0.37080670683774
ID153759,153759,0,2711.2607421875,904.8635404245455,487.26381620281455,0.0,3.7100518941879272,9,7.5,1,,369.0,63.0,29.0,4095.0,7749.0,894.811991426132,411.14285714285717,5.0,0.0,4095.0,8634.0,990.2241809668296,2320.809523809524,2444.0,833.0,2527.0,48737.0,368.9331401551803,0.7949965253648366,0.3652802443295435,0.969209716045159,0.4087097583489963,-0.027203161684535095,-0.351818811920836
ID152861,152861,0,2851.15673828125,904.2957880638812,487.2839500434103,0.0,2.061139941215515,5,7.5,1,,314.95238095238096,46.0,29.0,3645.0,6614.0,795.848068175734,430.5238095238095,0.0,0.0,4095.0,9041.0,1024.8123056954194,2316.7619047619046,2448.0,835.0,2517.0,48652.0,368.146017873602,0.7875675675675675,0.3487145607577557,0.9631941805548017,0.41222414934382773,-0.02786408639964834,-0.3607523030579737
ID159906,159906,0,2675.526123046875,904.3511355291419,487.3618939633903,0.0,14.015751600265503,34,7.5,1,,332.8095238095238,43.0,29.0,3452.0,6989.0,771.1360852046557,392.85714285714283,0.0,0.0,4095.0,8250.0,945.7700717253791,2317.6666666666665,2455.0,890.0,2525.0,48671.0,357.1481951982025,0.7972933877655984,0.38290752461084127,0.9803762714915832,0.41126728085685105,-0.027392127573476192,-0.3655278699509338
ID155681,155681,0,2777.45263671875,905.3502355140889,487.5875020342788,0.0,7.8323317766189575,19,7.5,1,,346.76190476190476,47.0,31.0,4095.0,7282.0,900.4813104535765,406.04761904761904,0.0,0.0,4095.0,8527.0,992.2468682838196,2324.5714285714284,2446.0,789.0,2543.0,48816.0,379.8234552300018,0.7893540559633874,0.3397521665789739,0.9823893522420157,0.4055850303529134,-0.026022416089305233,-0.32703163536614116
ID154855,154855,0,2585.23486328125,904.4020226150521,487.3814133488774,0.0,6.183419823646545,15,7.5,1,,333.5238095238095,36.0,30.0,3820.0,7004.0,834.6274389838629,364.14285714285717,0.0,0.0,4095.0,7647.0,936.6967644715277,2319.3809523809523,2462.0,811.0,2528.0,48707.0,372.86317546661485,0.7949194349232791,0.35395034103638956,0.9497083851228606,0.37872448529289565,-0.026891495015283793,-0.3438003123533286
ID158951,158951,0,2681.39013671875,904.4352099489535,487.15567709588987,0.0,13.191295623779297,32,7.5,1,,339.6666666666667,55.0,31.0,3553.0,7133.0,789.4243050054472,389.3809523809524,0.0,0.0,4095.0,8177.0,991.3087045007966,2317.0,2452.0,785.0,2533.0,48657.0,381.8210313746481,0.7779162512462612,0.37652513781678437,0.9809223874269448,0.3890119703681494,-0.027667036359821307,-0.3453375587573713
ID154405,154405,0,2936.15673828125,903.9087119657503,486.9881736042183,0.0,3.297823905944824,8,7.5,1,,348.04761904761904,35.0,30.0,3731.0,7309.0,836.68611056898,467.6666666666667,0.0,0.0,4095.0,9821.0,1071.6087127927494,2325.6666666666665,2456.0,871.0,2546.0,48839.0,360.55129084962846,0.8059733761620903,0.3712918835159152,0.9479347448802499,0.4247508080448918,-0.02586720586805362,-0.34256403428996995
ID160043,160043,0,2474.99951171875,905.0875788699796,487.2154255886058,0.0,14.840207576751709,36,7.5,1,,338.0952380952381,38.0,29.0,3903.0,7100.0,853.341954011515,324.6190476190476,0.0,0.0,4095.0,6817.0,930.7282351035922,2314.904761904762,2452.0,865.0,2515.0,48613.0,364.2541564295327,0.8106471150781002,0.35476762136789314,0.9973630237327863,0.3483191590877148,-0.028337572392978336,-0.3706857070550157
ID156141,156141,0,2660.979736328125,904.4246929766612,487.1441779791752,0.0,7.4201037883758545,18,7.5,1,,356.0952380952381,53.0,28.0,3935.0,7478.0,866.9409959600425,387.5238095238095,0.0,0.0,4095.0,8138.0,946.8619550413681,2323.1428571428573,2447.0,812.0,2539.0,48786.0,373.48952939999344,0.8112567743498139,0.3679467192399302,0.9828226838033747,0.4057261616872996,-0.026766611308107768,-0.34214001793035664
ID153971,153971,0,2595.4423828125,904.527611465764,487.326379146674,0.0,4.534507870674133,11,7.5,1,,350.3333333333333,62.0,31.0,3800.0,7357.0,840.2674772555066,368.5238095238095,0.0,0.0,4095.0,7739.0,960.8869662477277,2319.3809523809523,2450.0,856.0,2541.0,48707.0,363.8669366939618,0.783298994061326,0.3662665914038718,0.9722850498550539,0.37813525509051754,-0.02674566144808222,-0.35033738331495334
ID157878,157878,0,2624.124755859375,904.6469468631111,487.4104600426798,0.0,11.954611659049988,29,7.5,1,,304.95238095238096,40.0,28.0,3187.0,6404.0,709.8177566242251,362.42857142857144,0.0,0.0,4095.0,7611.0,941.9661125236179,2320.190476190476,2459.0,799.0,2530.0,48724.0,378.85137178682874,0.7946544295372542,0.38046318409091634,1.0,0.3847575476548625,-0.027482054954130024,-0.3461276958361834
ID151991,151991,0,2725.88671875,904.6563794027445,487.35226965151674,0.0,1.236683964729309,3,7.5,1,,315.2857142857143,41.0,31.0,3520.0,6621.0,777.1705181526859,390.3333333333333,0.0,0.0,4095.0,8197.0,992.0434634295683,2322.190476190476,2457.0,796.0,2531.0,48766.0,379.1685138625858,0.7782254003424314,0.35508846420248374,0.997258855419852,0.3929239326874445,-0.02668745711969063,-0.3358539368102415
