LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2800,2800,3,2811.72900390625,775.5962800112732,252.36859452127686,0.0,0.412227988243103,1,7.5,1,,1360.5238095238096,339.0,154.0,4095.0,28571.0,1532.335198938131,0.7286423039690222,0.7484996636161524
ID2051,2051,3,2476.924560546875,920.3624782359143,252.32076218317954,0.0,0.0,0,7.5,1,,1347.3333333333333,561.0,166.0,4095.0,28294.0,1493.2451350442545,0.6939471951146502,0.7392656008030765
ID2036,2036,3,3367.310791015625,342.8951222950884,258.78832414279947,0.0,1.648911952972412,4,7.5,1,,1440.5714285714287,261.0,152.0,4095.0,30252.0,1635.9417951574126,0.7624748754697195,0.7619027615274286
ID2405,2405,3,3076.794189453125,221.878460780899,258.5430155555964,0.0,2.061139941215515,5,7.5,1,,1439.7619047619048,485.0,151.0,4095.0,30235.0,1587.182973218964,0.7210146216514284,0.760069297601153
ID2213,2213,3,3008.7744140625,89.39572919816221,259.7815182810424,0.0,2.473367929458618,6,7.5,1,,1387.857142857143,371.0,151.0,4095.0,29145.0,1542.8058298345352,0.7302640366890778,0.7593308097141702
ID2584,2584,3,3102.448486328125,487.0709257511797,253.81901683675508,0.0,1.236683964729309,3,7.5,1,,1404.6190476190477,449.0,151.0,4095.0,29497.0,1539.8636133174416,0.7433472716795462,0.777882744272886
ID2227,2227,6,3140.01025390625,422.3979575697945,293.08952742833645,0.0,1.648911952972412,4,7.5,1,,1401.5238095238096,300.0,152.0,4095.0,29432.0,1623.9715397459286,0.7647199904065235,0.7479605626935446
ID2804,2804,6,2904.64892578125,805.6540195472151,289.2150426995047,0.0,0.412227988243103,1,7.5,1,,1356.142857142857,310.0,154.0,4095.0,28479.0,1565.7518093783028,0.7330503639807399,0.7327151040978371
ID2054,2054,6,1779.495849609375,938.9011905388901,292.7599020717637,0.0,0.0,0,7.5,1,,1259.7142857142858,373.0,154.0,4095.0,26454.0,1506.9716700342162,0.6964624966933604,0.6863575799987959
ID2182,2182,6,2295.503173828125,677.8639764091921,292.6315502409016,0.0,0.824455976486206,2,7.5,1,,1264.904761904762,382.0,156.0,4095.0,26563.0,1548.228500731139,0.6959346219533608,0.6705205640697118
ID2598,2598,6,1949.775390625,548.4914294810984,288.4055768450661,0.0,1.236683964729309,3,7.5,1,,1276.3333333333333,348.0,154.0,4095.0,26803.0,1525.7164328056947,0.6923356195196642,0.6844637683604303
ID2247,2247,6,2892.417236328125,39.68186782486357,292.9211943357494,0.0,2.885595917701721,7,7.5,1,,1345.2380952380952,381.0,155.0,4095.0,28250.0,1542.7447586934754,0.7486575571408675,0.7466438928993419
ID2218,2218,6,3206.8916015625,167.89113450402434,293.4262412806474,0.0,2.473367929458618,6,7.5,1,,1406.3333333333333,376.0,166.0,4095.0,29533.0,1562.0225137088562,0.7293388278522335,0.7594168330260634
ID2414,2414,6,2058.28125,293.36975486210963,296.62973646968936,0.0,2.061139941215515,5,7.5,1,,1244.952380952381,334.0,155.0,4095.0,26144.0,1532.6489968740552,0.703594497071784,0.6709593913496307
ID2419,2419,10,3200.710693359375,193.85704712140156,341.66557858224127,0.0,2.061139941215515,5,7.5,1,,1545.4761904761904,542.0,159.0,4095.0,32455.0,1566.0043301040907,0.6864011015776723,0.8033715546940472
ID2228,2228,10,2804.43359375,74.98224362182813,339.6663542862074,0.0,2.473367929458618,6,7.5,1,,1588.4285714285713,987.0,164.0,4095.0,33357.0,1530.1407638328105,0.6439105525780816,0.8132305028853583
ID2058,2058,10,3438.255126953125,784.9344110343476,338.07632196716827,0.0,0.0,0,7.5,1,,1594.2857142857142,515.0,164.0,4095.0,33480.0,1598.8502163385144,0.7212261422787738,0.8356451498196817
ID2618,2618,10,2982.051025390625,437.39663093518726,340.40108956455686,0.0,1.236683964729309,3,7.5,1,,1531.857142857143,862.0,152.0,4095.0,32169.0,1516.6856393371133,0.649216572142651,0.7951784357982234
ID2189,2189,10,2702.41064453125,550.6636273095089,339.1334011143419,0.0,0.824455976486206,2,7.5,1,,1520.4285714285713,903.0,176.0,4095.0,31929.0,1484.6736534143984,0.6532494514669618,0.8092928109301772
ID2831,2831,10,2582.2646484375,662.5044993419708,341.96061943101154,0.0,0.412227988243103,1,7.5,1,,1512.5714285714287,1237.0,153.0,4095.0,31764.0,1496.6366149279047,0.6615795048844599,0.8048045784701202
ID2239,2239,10,3113.578125,314.03493990859823,341.7627948224543,0.0,1.648911952972412,4,7.5,1,,1580.2380952380952,981.0,154.0,4095.0,33185.0,1550.2809714616865,0.6692236110761802,0.8173326393218605
ID2656,2656,21,4010.9443359375,107.84519546449214,467.4757137766346,0.0,1.236683964729309,3,7.5,1,,1744.904761904762,886.0,157.0,4095.0,36643.0,1661.8516451465184,0.6896199934292813,0.8570975945891169
ID2321,2321,21,4193.92529296875,233.86207715870873,471.20491306323277,0.0,0.824455976486206,2,7.5,1,,1773.142857142857,716.0,153.0,4095.0,37236.0,1698.6887379892257,0.6994300775299936,0.8592131575637558
ID2069,2069,21,3799.013916015625,511.9887057649226,475.1566292363195,0.0,0.0,0,7.5,1,,1766.2857142857142,970.0,155.0,4095.0,37092.0,1673.3064914371528,0.6537426225945061,0.8345537968450146
