LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID5184,5184,0,632.7625122070312,180.10811750207242,731.6131528373852,0.0,0.0,0,7.5,1,,622.2857142857143,296.0,168.0,2177.0,13068.0,627.8631334022681,0.48923076923076925,0.651188326095252
ID5171,5171,0,1255.8780517578125,340.08236125123665,751.934894952207,0.0,0.412227988243103,1,7.5,1,,948.5238095238095,746.0,163.0,3070.0,19919.0,796.638790108015,0.5097585932466745,0.804032916143792
ID5186,5186,1,1556.72314453125,315.25232067437025,811.0463695158522,0.0,0.0,0,7.5,1,,964.5238095238095,758.0,175.0,2911.0,20255.0,822.7651924484662,0.5435173983863746,0.8255986224968501
ID5172,5172,1,1438.82275390625,3.6042632326470723,811.2673878635626,0.0,0.412227988243103,1,7.5,1,,1157.1904761904761,1298.0,158.0,2197.0,24301.0,772.9055970199479,0.32802328043773776,0.7396178318657045
ID5187,5187,2,2083.1982421875,361.9686253748098,918.9038897178754,0.0,0.0,0,7.5,1,,1139.6666666666667,413.0,163.0,3628.0,23933.0,1141.0229328691573,0.6390641452578052,0.7788646094234897
ID5173,5173,2,1721.0198974609375,49.622662217616806,918.6640017653793,0.0,0.412227988243103,1,7.5,1,,1080.7142857142858,690.0,168.0,3507.0,22695.0,1040.9647517018598,0.6032212773848313,0.7812464338205767
ID5154,5154,3,1211.6732177734375,616.6991483201181,204.0804408628946,0.0,0.824455976486206,2,7.5,1,,816.7142857142857,337.0,168.0,2635.0,17151.0,764.031029661567,0.5592526933042411,0.7667975777327426
ID5175,5175,3,1322.5859375,1167.8532467547093,209.18760820859828,0.0,0.0,0,7.5,1,,824.1428571428571,312.0,193.0,3237.0,17307.0,825.5820544145982,0.5816854587203124,0.7342438806502389
ID5160,5160,3,1395.40966796875,362.4652546437837,203.84473077006285,0.0,1.236683964729309,3,7.5,1,,835.047619047619,299.0,156.0,2931.0,17536.0,836.9759540267854,0.5768188919736087,0.7299379071180873
ID5195,5195,3,1360.32666015625,114.70144122247423,202.88029666145098,0.0,1.648911952972412,4,7.5,1,,815.9047619047619,446.0,167.0,2869.0,17134.0,784.2827873134731,0.5574239876380493,0.7446900894615436
ID5165,5165,3,773.2904663085938,889.2287812961091,205.7349884580812,0.0,0.412227988243103,1,7.5,1,,836.5714285714286,471.0,154.0,3128.0,17568.0,878.2153250444092,0.5355972204012063,0.6644969769138551
ID5155,5155,4,1448.1639404296875,447.4519309420608,337.78656247134444,0.0,0.824455976486206,2,7.5,1,,868.952380952381,396.0,169.0,2920.0,18248.0,861.8993256866185,0.6054724015440619,0.7604329730093935
ID5161,5161,4,1146.5518798828125,139.97777636125113,335.6026914372997,0.0,1.236683964729309,3,7.5,1,,846.1904761904761,382.0,153.0,2745.0,17770.0,905.8378783782239,0.5631769350032437,0.6731074125182531
ID5178,5178,4,1399.90380859375,1095.6412974827215,343.02333768504366,0.0,0.0,0,7.5,1,,898.5714285714286,480.0,159.0,3142.0,18870.0,931.5849704363296,0.5887348846020269,0.7148722949044205
ID5166,5166,4,1382.6038818359375,765.0353031556615,339.07040215531583,0.0,0.412227988243103,1,7.5,1,,823.9047619047619,570.0,160.0,2700.0,17302.0,747.4536711236292,0.5698585702782094,0.8002566379874356
ID5156,5156,5,1523.1947021484375,124.7299931200164,348.25461370747706,0.0,0.824455976486206,2,7.5,1,,939.1904761904761,345.0,151.0,3184.0,19723.0,976.9974216469366,0.608186478856013,0.7270940863094293
ID5179,5179,5,1191.18896484375,930.6258882483442,354.01563041746573,0.0,0.0,0,7.5,1,,847.2857142857143,425.0,153.0,2792.0,17793.0,828.7318108325,0.5561823548704493,0.7308068173881977
ID5167,5167,5,1219.6361083984375,518.7149583719606,352.16792172617767,0.0,0.412227988243103,1,7.5,1,,930.952380952381,546.0,151.0,3320.0,19550.0,957.752132662229,0.5892047879366757,0.7207601009362364
ID5168,5168,6,879.1817016601562,405.6044693369955,402.8637727469746,0.0,0.412227988243103,1,7.5,1,,633.8571428571429,352.0,155.0,1934.0,13311.0,568.8018359423857,0.48599656717042744,0.7289131586050976
ID5180,5180,6,584.4196166992188,251.57485140418234,400.17806228212686,0.0,0.0,0,7.5,1,,693.6190476190476,482.0,151.0,2030.0,14566.0,645.9008032345582,0.4770572428129595,0.693678683791497
ID5169,5169,7,757.1685180664062,739.3739448162389,606.0255858894737,0.0,0.412227988243103,1,7.5,1,,596.6666666666666,328.0,158.0,1751.0,12530.0,516.6000709768954,0.464169904472554,0.7323063721112872
ID5158,5158,7,814.5676879882812,431.6962888796551,604.5889612950922,0.0,0.824455976486206,2,7.5,1,,710.1428571428571,520.0,187.0,1915.0,14913.0,608.2319693763462,0.47027506654835843,0.7468954891527955
ID5162,5162,7,623.249267578125,136.16536927757795,603.0473996315279,0.0,1.236683964729309,3,7.5,1,,629.3333333333334,375.0,153.0,1947.0,13216.0,565.4412731074142,0.474691401073994,0.7165284551624809
ID5182,5182,7,1003.8721923828125,1055.0994703360461,606.5493673989355,0.0,0.0,0,7.5,1,,726.3809523809524,434.0,158.0,2249.0,15254.0,671.9681894398334,0.5379147815347389,0.7561830461119609
