LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID10792,10792,0,2007.0064697265625,391.85738854920265,224.1216532037722,0.0,0.0,0,7.5,1,,1030.1904761904761,460.0,162.0,3370.0,21634.0,1056.2778810070586,0.6358102871401297,0.7581653916390034
ID10761,10761,0,1470.1097412109375,152.36363470876066,223.74997826926077,0.0,0.412227988243103,1,7.5,1,,985.1428571428571,422.0,149.0,3395.0,20688.0,1026.0552268622916,0.5894894548807191,0.7121588259423739
ID10769,10769,1,1004.9805908203125,312.99174758535037,404.0085669384945,0.0,0.824455976486206,2,7.5,1,,744.5238095238095,476.0,177.0,2637.0,15635.0,651.1135553071845,0.49434900002389426,0.7565427475439978
ID10809,10809,1,1353.9786376953125,93.57910972182893,403.63431905022185,0.0,1.236683964729309,3,7.5,1,,788.7142857142857,443.0,161.0,2347.0,16563.0,714.6982680024586,0.5487762115155339,0.7820483082892382
ID10794,10794,1,1205.092041015625,760.7759678701159,407.21062769124296,0.0,0.0,0,7.5,1,,773.2857142857143,431.0,156.0,2314.0,16239.0,642.4477521835641,0.5306093595362648,0.8345314546133974
ID10763,10763,1,1053.9932861328125,534.1193071327862,406.8702515159741,0.0,0.412227988243103,1,7.5,1,,753.2857142857143,443.0,162.0,2166.0,15819.0,703.3621501656983,0.5105636324572084,0.7239716916730946
ID10818,10818,2,666.3626098632812,159.06604588825266,1140.0636108090393,0.0,1.236683964729309,3,7.5,1,,517.2380952380952,282.0,156.0,1674.0,10862.0,466.229225248901,0.44496732460880983,0.6832680290246876
ID10790,10790,2,443.52294921875,9.802722877862758,1140.003566392596,0.0,1.648911952972412,4,7.5,1,,527.7619047619048,369.0,159.0,1790.0,11083.0,494.18821361520804,0.3044194668392868,0.49846055924987515
ID10795,10795,2,460.1971435546875,648.5791237826922,1141.079477381172,0.0,0.0,0,7.5,1,,506.9047619047619,431.0,150.0,1551.0,10645.0,409.54681109268876,0.37191094500112776,0.6710669595987478
ID10767,10767,2,579.013916015625,476.9964828067839,1141.5916286682339,0.0,0.412227988243103,1,7.5,1,,478.8095238095238,268.0,153.0,1267.0,10055.0,409.1378275163052,0.41244227493810476,0.6834639419152911
ID10768,10768,3,1834.4893798828125,526.0650867088771,1144.0001132255138,0.0,0.412227988243103,1,7.5,1,,1027.142857142857,653.0,181.0,2827.0,21570.0,875.3150453244983,0.5959158759225348,0.8763375343183534
ID10819,10819,3,2205.31982421875,20.620893275373287,1142.8984650288862,0.0,1.236683964729309,3,7.5,1,,1130.857142857143,545.0,205.0,3161.0,23748.0,1030.0902526339275,0.6369323028407475,0.8543287464719468
ID10778,10778,3,2741.489013671875,297.5071266980173,1143.8141287854553,0.0,0.824455976486206,2,7.5,1,,1502.047619047619,1215.0,193.0,4095.0,31543.0,1215.515671482292,0.583951089992656,0.9111457225486207
ID10796,10796,3,1167.574462890625,762.2556692791297,1143.9530596922816,0.0,0.0,0,7.5,1,,942.3333333333334,592.0,169.0,3222.0,19789.0,879.9025135396155,0.5391166548381765,0.7502589795421013
ID10770,10770,4,1601.5694580078125,958.7838345257218,675.6741506291439,0.0,0.824455976486206,2,7.5,1,,1001.9047619047619,570.0,188.0,2640.0,21040.0,861.8286317338212,0.5574657870143328,0.8322143916630844
ID10834,10834,4,1441.211669921875,65.39823349769378,674.6616559888053,0.0,2.473367929458618,6,7.5,1,,978.7619047619048,891.0,153.0,2459.0,20554.0,768.5055565681946,0.5190865082591183,0.8703967800724751
ID10810,10810,4,1652.6153564453125,716.4177578059405,675.136257333455,0.0,1.236683964729309,3,7.5,1,,980.0952380952381,605.0,176.0,2602.0,20582.0,808.9559879722694,0.5777692602529706,0.8873282780300403
ID10764,10764,4,1595.419677734375,1207.835747235705,675.5203155188592,0.0,0.412227988243103,1,7.5,1,,970.3333333333334,560.0,197.0,2482.0,20377.0,741.2767589324066,0.5392808581356701,0.9172077145437109
ID10781,10781,4,1607.1444091796875,488.1463171557278,675.5211610301734,0.0,1.648911952972412,4,7.5,1,,1039.857142857143,883.0,186.0,2726.0,21837.0,822.0245912206207,0.5466666666666667,0.8942207282143766
ID10799,10799,4,1389.6259765625,271.5391714714038,675.3763493752786,0.0,2.061139941215515,5,7.5,1,,970.2857142857143,766.0,153.0,2801.0,20376.0,721.8894058550204,0.4918046289432501,0.8862160807613836
ID10786,10786,5,923.2279663085938,539.0603534569574,952.7147210309155,0.0,1.648911952972412,4,7.5,1,,1004.8095238095239,711.0,156.0,3086.0,21101.0,939.1268614541711,0.5101536920076577,0.7228852461207994
ID10803,10803,5,1282.6202392578125,320.7171314213847,952.0582714398392,0.0,2.061139941215515,5,7.5,1,,1083.904761904762,835.0,157.0,2886.0,22762.0,974.2751615822865,0.5238924130081846,0.7649398590348447
ID10774,10774,5,1725.77392578125,1009.2046470944329,953.3825354375591,0.0,0.824455976486206,2,7.5,1,,1116.6666666666667,629.0,180.0,3051.0,23450.0,958.5214829795592,0.5638937285860768,0.840120773319154
ID10838,10838,5,1554.9248046875,104.39967369362562,952.2318631994827,0.0,2.473367929458618,6,7.5,1,,996.3333333333334,578.0,163.0,2730.0,20923.0,854.2327161455087,0.5363518710589358,0.8143621155646129
