LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2343,2343,5,1811.6446533203125,475.64109306601733,790.5423417061313,0.0,0.412227988243103,1,7.5,1,,1053.0,285.0,153.0,3948.0,22113.0,1212.005693055936,0.6593876632147682,0.6904729471584425
ID2556,2556,5,1883.8411865234375,306.7602545862582,786.1687889185935,0.0,0.824455976486206,2,7.5,1,,1083.4761904761904,333.0,153.0,4095.0,22753.0,1301.2405472873807,0.6940029036220823,0.6822427310711839
ID2412,2412,5,2015.6746826171875,80.18118791982909,785.5469946978328,0.0,1.236683964729309,3,7.5,1,,1090.7619047619048,266.0,152.0,3997.0,22906.0,1282.8375931801309,0.6993684679087107,0.6998529071961441
ID2191,2191,5,2106.704345703125,667.6858682312576,790.196489702975,0.0,0.0,0,7.5,1,,1107.8095238095239,486.0,158.0,4095.0,23264.0,1266.0639643812478,0.6768357509685557,0.7063699378305833
ID2082,2082,19,863.65673828125,1172.2147816538813,214.63571542807148,0.0,0.0,0,7.5,1,,822.0952380952381,272.0,156.0,3497.0,17264.0,987.4846786032634,0.5925648328586418,0.6195273939734701
ID2262,2262,19,1096.773193359375,956.9259167823153,213.01598400847416,0.0,0.412227988243103,1,7.5,1,,905.7619047619048,335.0,152.0,3119.0,19021.0,1014.6458448523754,0.5790467691222099,0.6547088547376549
ID2490,2490,19,1542.49755859375,750.5895725060885,214.6503424106463,0.0,0.824455976486206,2,7.5,1,,885.2857142857143,308.0,154.0,3261.0,18591.0,995.3178458591578,0.6379014140346241,0.6928152965811549
ID2378,2378,19,1773.27685546875,555.3551512145108,213.80359999248918,0.0,1.236683964729309,3,7.5,1,,949.952380952381,273.0,152.0,3334.0,19949.0,1022.6972903156865,0.6351471808690484,0.7216095145908648
ID2142,2142,19,1662.9923095703125,363.2713335899057,213.74154779139258,0.0,1.648911952972412,4,7.5,1,,946.7619047619048,216.0,164.0,3248.0,19882.0,1040.7837866128539,0.6563502311825719,0.7209310358064206
ID2274,2274,24,1137.2940673828125,561.6190762758326,243.7091572307615,0.0,0.412227988243103,1,7.5,1,,755.2857142857143,285.0,154.0,3243.0,15861.0,832.0989810627785,0.6037006142412983,0.6833836719960548
ID2151,2151,24,1043.707275390625,119.30692700101929,241.8392901158009,0.0,1.648911952972412,4,7.5,1,,747.5714285714286,211.0,155.0,2870.0,15699.0,896.0625297058556,0.5825206017993498,0.6141950194455792
ID2088,2088,24,947.6644897460938,714.9932285564789,243.30431424021575,0.0,0.0,0,7.5,1,,716.047619047619,253.0,153.0,2662.0,15037.0,791.6573423009778,0.4292707268968467,0.5433146699162703
ID2524,2524,24,1037.8406982421875,412.326185129013,239.96283063714554,0.0,0.824455976486206,2,7.5,1,,705.3333333333334,247.0,154.0,2771.0,14812.0,837.8359823577246,0.5962712001400995,0.6289303482856295
ID2381,2381,24,1203.806396484375,269.5616724819586,242.78733292520602,0.0,1.236683964729309,3,7.5,1,,728.952380952381,221.0,153.0,2450.0,15308.0,769.5452212956998,0.588832092166377,0.7021153648382004
ID2242,2242,41,4403.25,676.3558657076575,1094.281061287153,0.0,0.0,0,7.5,1,,1681.5238095238096,357.0,164.0,4095.0,35312.0,1803.0755563494179,0.7763133901342472,0.8151482084863793
ID2279,2279,41,3992.528564453125,63.672090548305675,1093.784744539099,0.0,2.061139941215515,5,7.5,1,,1594.7142857142858,242.0,151.0,4095.0,33489.0,1768.9849389652009,0.760551996057171,0.7788768565646521
ID2360,2360,41,4234.4150390625,552.9310353084002,1093.968920266606,0.0,0.412227988243103,1,7.5,1,,1645.5714285714287,496.0,162.0,4095.0,34557.0,1776.1729243355946,0.7442459115687463,0.7906244347300866
ID2313,2313,41,4073.9248046875,184.64532592865962,1093.1052846954678,0.0,1.648911952972412,4,7.5,1,,1597.4285714285713,426.0,165.0,4095.0,33546.0,1740.0703885598582,0.7771067583137987,0.8028821349736849
ID2574,2574,41,4145.298828125,428.5367264813089,1093.494487966166,0.0,0.824455976486206,2,7.5,1,,1638.8095238095239,278.0,156.0,4095.0,34415.0,1760.1225985438516,0.7655961420069771,0.8074653983841152
ID2430,2430,41,4001.401123046875,306.51994665091513,1093.8012088360113,0.0,1.236683964729309,3,7.5,1,,1633.7619047619048,327.0,155.0,4095.0,34309.0,1775.55112302524,0.7149033745493624,0.7671729325280591
ID2545,2545,61,2883.70361328125,457.2556863270862,540.7957233751836,0.0,0.824455976486206,2,7.5,1,,1434.3809523809523,529.0,155.0,4095.0,30122.0,1584.0614406073544,0.7154491222574997,0.7553068020478058
ID2401,2401,61,1691.7606201171875,329.75293798140495,538.927669953735,0.0,1.236683964729309,3,7.5,1,,1362.6666666666667,732.0,153.0,4095.0,28616.0,1487.2432327408094,0.6420261372276176,0.7164902247573014
ID2210,2210,61,2852.6611328125,204.73250565197182,537.0475657876805,0.0,1.648911952972412,4,7.5,1,,1442.142857142857,363.0,156.0,4095.0,30285.0,1562.7106349453916,0.7095681625740897,0.766068157707707
ID2149,2149,61,3359.61181640625,740.7480273423063,541.0659591396283,0.0,0.0,0,7.5,1,,1472.4761904761904,463.0,152.0,4095.0,30922.0,1661.5801099871055,0.7590681865049173,0.7648127294069985
